AiRandomsUsed,PlayerSymbol,AiFirst,MovesMade,TotalAttempts,WinningSymbol,AiAutoplay,RandomAutoplay,TokenTimeouts
1,O,False,9,3,-,False,False,0
0,O,False,5,0,O,False,False,0
0,O,False,5,1,O,False,False,0
0,O,False,5,0,O,False,False,0
0,O,False,5,0,O,False,False,0
0,O,False,9,1,-,False,False,0
2,O,False,9,4,-,False,False,0
1,O,False,9,2,-,False,False,0
2,O,False,6,4,O,False,False,0
0,O,False,5,0,O,False,True,0
0,O,False,6,0,X,False,False,0
3,O,False,8,6,X,True,False,1
1,O,False,6,2,X,True,False,0
0,O,False,8,1,X,False,True,0
2,O,False,9,4,-,False,True,0
0,O,False,5,1,O,False,True,0
1,O,False,9,3,O,False,True,0
0,O,False,5,1,O,False,False,0
0,O,False,7,1,O,False,False,0
0,O,False,6,1,O,False,False,0
3,O,False,9,6,O,True,False,1
5,O,False,9,11,-,True,False,7
0,O,False,7,0,O,False,True,0
1,O,False,8,2,X,False,True,0
1,O,False,8,2,X,False,True,0
0,O,False,8,1,X,False,True,0
2,O,False,8,4,X,False,True,4
2,O,False,7,4,O,False,True,4
0,O,False,5,0,O,False,True,0
0,O,False,8,0,X,False,True,0
1,O,False,7,2,O,True,False,0
0,O,False,7,0,O,False,True,0
1,O,False,7,2,O,True,False,0
3,O,False,9,8,O,True,False,0
0,O,False,8,0,X,False,True,0
0,O,False,8,1,X,False,True,0
1,O,False,9,3,-,True,False,0
0,O,False,8,0,X,False,True,0
0,O,False,6,0,X,False,True,0
1,O,False,9,2,-,False,True,0
0,O,False,7,0,O,True,False,0
3,O,False,9,6,O,True,False,0
0,O,False,5,0,O,False,True,0
0,O,False,5,0,O,True,False,0
0,O,False,9,1,-,False,True,0
3,O,False,8,6,X,False,True,0
1,O,False,9,5,O,True,False,0
1,O,False,7,2,O,True,False,0
0,O,False,9,1,O,True,False,0
0,O,False,6,0,X,False,True,0
1,O,False,7,3,O,True,False,0
0,O,False,8,0,X,False,True,0
0,O,False,9,1,O,True,False,0
0,O,False,6,2,X,False,True,0
2,O,False,9,4,O,True,False,0
0,O,False,5,0,O,False,True,0
1,O,False,9,2,O,True,False,0
1,O,False,8,4,X,False,True,0
0,O,False,7,1,O,True,False,0
0,O,False,8,0,X,False,True,0
2,O,False,8,4,X,True,False,0
0,O,False,5,0,O,False,True,0
3,O,False,9,6,-,True,False,0
0,O,False,9,0,O,False,True,0
2,O,False,9,4,-,True,False,0
1,O,False,9,2,O,False,True,0
0,O,False,8,2,X,True,False,0
3,O,False,7,6,O,False,True,6
0,O,False,7,0,O,False,True,0
0,O,False,5,0,O,True,False,0
1,O,False,9,2,-,False,True,0
1,O,False,7,2,O,True,False,0
1,O,False,8,3,X,False,True,0
2,O,False,9,4,-,True,False,0
1,O,False,6,4,X,False,True,0
0,O,False,7,2,O,True,False,0
0,O,False,7,1,O,False,True,0
0,O,False,5,1,O,True,False,0
0,O,False,8,1,X,False,True,0
1,O,False,5,2,O,True,False,0
1,O,False,6,2,X,False,True,0
2,O,False,9,6,-,True,False,0
0,O,False,6,2,X,False,True,0
2,O,False,9,5,-,True,False,0
0,O,False,5,0,O,False,True,0
1,O,False,9,3,-,True,False,0
1,O,False,5,2,O,False,True,0
0,O,False,5,0,O,False,True,0
3,O,False,9,6,O,True,False,0
0,O,False,7,1,O,False,True,0
0,O,False,7,1,O,True,False,0
1,O,False,8,2,X,False,True,0
1,O,False,8,3,X,True,False,0
1,O,False,8,3,X,False,True,0
2,O,False,9,4,O,False,True,0
0,O,False,8,2,X,True,False,0
0,O,False,9,1,-,False,True,0
3,O,False,9,7,O,True,False,0
0,O,False,5,0,O,False,True,0
0,O,False,7,0,O,True,False,0
0,O,False,6,1,X,False,True,0
0,O,False,7,0,O,True,False,0
0,O,False,9,0,-,False,True,0
2,O,False,9,5,O,True,False,0
1,O,False,7,2,O,False,True,0
3,O,False,9,7,-,True,False,0
0,O,False,7,0,O,False,True,0
1,O,False,6,2,X,True,False,0
0,O,False,9,0,O,False,True,0
3,O,False,9,6,O,True,False,0
0,O,False,9,0,O,False,True,0
1,O,False,9,3,O,True,False,0
0,O,False,7,0,O,False,True,0
4,O,False,9,9,O,True,False,0
1,O,False,8,2,X,False,True,0
2,O,False,9,4,-,True,False,0
0,O,False,8,0,X,False,True,0
0,O,False,8,1,X,False,True,0
1,O,False,9,4,-,True,False,0
0,O,False,9,0,O,False,True,0
1,O,False,9,2,-,True,False,0
0,O,False,7,1,O,False,True,0
0,O,False,7,2,O,True,False,0
1,O,False,8,3,X,False,True,0
0,O,False,7,0,O,True,False,0
1,O,False,9,2,O,False,True,0
1,O,False,7,2,O,True,False,0
0,O,False,9,0,-,False,True,0
1,O,False,7,2,O,True,False,0
0,O,False,7,1,O,False,True,0
3,O,False,9,6,O,True,False,0
0,O,False,9,0,O,False,True,0
2,O,False,8,4,X,True,False,0
0,O,False,8,0,X,False,True,0
1,O,False,7,3,O,True,False,0
1,O,False,9,3,O,False,True,0
3,O,False,6,6,X,False,True,6
7,O,False,7,14,O,True,False,14
4,O,False,9,8,O,False,True,8
0,O,False,9,0,O,False,True,0
1,O,False,7,2,O,True,False,0
0,O,False,7,0,O,False,True,0
0,O,False,9,0,-,False,True,0
0,O,False,8,2,X,False,True,0
2,O,False,8,4,X,True,False,0
0,O,False,9,0,O,False,True,0
